,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
62,1991,HI,7612,0,70988,0,0,0,51479,7714453,0,8703235,35621,823082
63,1991,IA,26756771,0,901111,388004,4146811,0,0,49892,0,32267856,0,25267
64,1991,ID,16359,0,8745279,107243,0,61948,0,361,0,9428619,0,497429
65,1991,IL,55060170,0,134457,1735870,71866091,0,385381,910110,0,130274345,0,182266
66,1991,IN,97457227,0,399051,1454748,0,0,2107806,529353,0,101981299,0,33114
67,1991,KS,23435008,0,10567,3265529,5858613,0,0,60984,0,32630743,42,0
68,1991,KY,71713851,0,3657801,21871,0,0,0,111558,0,75505081,0,0
69,1991,LA,18968479,0,656492,36363381,13956196,1583053,955600,55760,0,74972693,0,2433732
70,1991,MA,11985593,0,1114929,6329862,4416611,0,800,16159825,0,41019791,0,1634651
71,1991,MD,22835671,0,1407287,1517463,9036100,0,478704,4078506,0,39850884,0,497153
72,1991,ME,857960,0,3817231,49101,6264366,0,0,2152209,0,17344783,0,4203916
73,1991,MI,66878223,0,1751668,8499078,27021214,28221,217829,658567,0,105978124,0,1719109
74,1991,MN,26783813,0,1037092,803940,12059055,0,0,583697,0,42132110,237,864276
75,1991,MO,48211692,0,1119389,1093001,9979371,0,0,119145,0,60474726,0,0
76,1991,MS,8790265,0,0,5718936,9132933,0,0,396188,0,25876616,0,1838294
77,1991,MT,16432520,0,11970007,32344,0,0,0,19654,0,28553148,0,98623
78,1991,NC,50767188,0,5850120,385907,30312425,226926,0,275785,0,89375284,0,1340501
79,1991,ND,25828747,0,1756684,940,0,0,40131,52646,0,27679148,0,0
80,1991,NE,13591228,0,1044671,303327,8047662,0,0,13459,0,23000347,0,0
81,1991,NH,3168054,0,1585286,-1,6787851,0,0,1592175,0,14221341,0,1087976
82,1991,NJ,5237132,0,21598,10592907,24806606,0,67544,2151098,0,43526466,0,804765
83,1991,NM,22129312,0,237108,2863662,0,0,0,33012,0,25277222,0,14128
84,1991,NV,16365730,995408,2365050,2094971,0,1568,0,242477,0,22065204,0,0
85,1991,NY,26659951,0,27172120,23074027,28448293,0,51520,28220555,0,134600499,0,1981302
86,1991,OH,117502355,0,154224,364566,14832789,0,57312,427742,0,134036497,0,697509
87,1991,OK,28404639,0,1922137,18416871,0,0,106620,46069,0,49099117,0,268133
88,1991,OR,2814199,0,41088337,1223154,1465368,0,0,11000,0,47444889,539,842292
89,1991,PA,106028875,0,1920358,2108889,57475671,107372,721051,4125862,0,172762709,0,1237776
90,1991,RI,0,0,9946,2749067,0,0,0,94651,0,2925819,0,72155
91,1991,SC,23821335,0,3111318,1081636,43108073,7945,5821,180889,0,72180007,0,1437247
92,1991,SD,2727087,0,3828116,9036,0,0,0,8427,0,6572666,0,0
93,1991,TN,48236733,0,10872944,197260,16586744,38926,3153,172265,0,76192806,0,461119
94,1991,TX,120845051,0,2224581,136442893,19799867,705801,3320535,1492995,371,286328708,0,1496614
95,1991,UT,28887600,186241,626965,549984,0,0,203802,51314,0,30505906,0,0
96,1991,VA,24821391,0,1080055,1730887,23886268,0,0,2353996,33,54729094,0,1894129
97,1991,VT,0,0,1052719,95341,4108314,0,0,5244,0,5387985,0,126367
98,1991,WA,7944779,0,89342397,460424,4229868,3,97467,31164,0,102870562,0,764460
99,1991,WI,34487009,0,2516633,381590,10991419,0,0,164243,0,49356737,6,815837
100,1991,WV,71867808,0,1065385,58808,0,198,178489,253047,0,73423735,0,0
101,1991,WY,38081345,0,735932,321763,0,47491,0,61417,0,39298388,0,50440
102,1992,AK,495795,0,918120,3214330,0,0,0,521950,0,5298424,0,148229
103,1992,AL,61160671,0,10260023,1396063,19397436,0,328720,194866,0,95234422,0,2496643
104,1992,AR,20093600,0,3377255,3426632,11325661,0,0,52668,0,39746101,0,1467593
105,1992,AZ,34817088,0,6620757,2975365,25608706,0,0,101915,0,70552727,0,138431
106,1992,CA,3299510,14771487,20167410,88704787,35244336,10211,2714688,1948539,399260,177155459,2863999,7035727
107,1992,CO,30247748,0,1499162,1347188,0,0,0,40888,0,33295490,0,28173
108,1992,CT,3717996,0,423713,1471825,16770708,0,2819,5483841,0,29211380,0,1337177
109,1992,DC,0,0,0,0,0,0,0,73991,0,73991,0,0
110,1992,DE,4003881,0,0,627975,0,6315,164881,2181233,0,6984285,0,0
111,1992,FL,62709653,0,235604,19919616,25115956,1951858,15178,28617786,0,143777143,0,5211492
112,1992,GA,59227954,0,4915318,729290,27996298,0,0,813405,0,97358229,0,3192885
113,1992,HI,556628,2134,61123,0,0,0,62401,8334203,0,9844461,22676,805296
114,1992,IA,25763013,0,999665,269011,3405144,0,0,40085,0,30496927,0,20009
115,1992,ID,44371,0,6653977,137549,0,72032,0,2313,0,7463004,0,552762
116,1992,IL,51416591,0,139308,1703597,73742321,0,404078,437893,0,128046228,0,202440
117,1992,IN,96616880,0,562476,1184257,0,0,2133416,488064,0,101018564,0,33471
118,1992,KS,22152736,0,9768,1372392,8490658,0,0,52826,0,32078493,113,0
119,1992,KY,73476309,0,3767232,23832,0,0,0,83886,0,77351259,0,0
120,1992,LA,19840001,0,656492,36977798,10355520,702002,1162816,1065464,0,73374124,0,2614031
121,1992,MA,11064697,0,1010856,8479397,4741968,0,0,13726316,0,40087655,0,1713106
122,1992,MD,23850470,0,1824659,1077542,10663950,0,506572,2749511,0,41177359,0,504655
123,1992,ME,559844,0,3512606,24687,5357999,0,0,2187082,0,15683544,0,4041326
124,1992,MI,63346702,0,1782271,9528639,18848731,31190,243754,628767,0,95321939,0,1682787
125,1992,MN,25701266,0,1062506,645888,11166355,0,0,648658,0,40258884,145,1034066
126,1992,MO,47099235,0,1481265,237779,8083975,0,0,81078,0,56951673,0,85
127,1992,MS,7836090,0,0,4735182,8173763,0,0,413903,0,23134963,0,1976025
128,1992,MT,17453833,0,8270838,34569,0,0,0,16956,0,25899645,50,123399
129,1992,NC,58274019,0,5768453,361308,22753813,225149,0,335046,0,89535255,0,1707582
130,1992,ND,26960827,0,1698854,13411,0,0,38523,55282,0,28766897,0,0
131,1992,NE,12440175,0,1075446,145492,8748468,0,0,9482,0,22425498,0,6435
132,1992,NH,3187087,0,1393631,57001,7868653,0,0,1413274,0,15117253,0,1197607
133,1992,NJ,5409083,0,22380,14515031,21595097,0,48157,1308375,0,43664014,0,904189
134,1992,NM,25348413,0,255046,2414692,0,0,0,37159,0,28069438,0,14128
135,1992,NV,16443169,1177972,1985691,3392197,0,20929,0,327585,0,23347543,0,0
136,1992,NY,27279703,0,28056647,26849697,24154932,0,91985,18319258,0,125948924,0,2228347
137,1992,OH,121249946,0,253165,340236,14805499,0,73545,258124,0,137661728,0,681213
138,1992,OK,30003846,0,3241701,16419444,0,0,72380,51626,0,50006448,0,249315
139,1992,OR,3702081,0,31718535,1527911,4572587,0,0,10655,0,42345374,539,813066
140,1992,PA,109124697,0,2577615,2707834,60132729,243730,1011223,2648000,0,179405645,0,1878706
141,1992,RI,0,0,9946,4612506,0,0,0,98919,0,4785205,0,63834
142,1992,SC,23677865,0,3310446,271179,45536530,6027,17359,158187,0,74170509,0,1728413
143,1992,SD,2626290,0,3612010,642,0,0,0,7472,0,6246414,0,0
144,1992,TN,51527665,0,10011047,275511,15653580,79537,3454,129598,0,77748112,0,489103
145,1992,TX,121395162,0,2638164,134639387,24496392,324978,3527112,1628161,369,290292313,0,1642588
146,1992,UT,31552990,186369,602384,631435,0,0,230326,33635,0,33237139,0,0
147,1992,VA,26225034,0,1089975,2475690,23334340,484,0,1852865,11,56352354,0,2038888
148,1992,VT,0,0,921498,63120,3734594,0,0,2688,0,4870142,0,148242
