,Year,State,Cents_kWh_Inf_Adj
511,2015,GA,7.93
512,2015,HI,21.56
513,2015,IA,6.88
514,2015,ID,6.67
515,2015,IL,7.75
516,2015,IN,7.41
517,2015,KS,8.36
518,2015,KY,6.71
519,2015,LA,6.3
520,2015,MA,13.93
521,2015,MD,9.95
522,2015,ME,10.53
523,2015,MI,8.87
524,2015,MN,7.85
525,2015,MO,7.78
526,2015,MS,7.85
527,2015,MT,7.33
528,2015,NC,7.72
529,2015,ND,7.21
530,2015,NE,7.34
531,2015,NH,13.2
532,2015,NJ,11.32
533,2015,NM,7.93
534,2015,NV,7.81
535,2015,NY,12.59
536,2015,OH,8.22
537,2015,OK,6.51
538,2015,OR,7.21
539,2015,PA,8.5
540,2015,RI,14.02
541,2015,SC,7.89
542,2015,SD,7.8
543,2015,TN,7.66
544,2015,TX,7.17
545,2015,UT,7.04
546,2015,VA,7.67
547,2015,VT,11.87
548,2015,WA,6.1
549,2015,WI,8.84
550,2015,WV,6.68
551,2015,WY,6.57
334,2016,AK,14.59
335,2016,AL,7.78
336,2016,AR,6.62
337,2016,AZ,8.41
338,2016,CA,12.39
339,2016,CO,8.0
340,2016,CT,14.03
341,2016,DC,9.55
342,2016,DE,9.02
343,2016,FL,8.06
344,2016,GA,7.8
345,2016,HI,19.42
346,2016,IA,6.96
347,2016,ID,6.57
348,2016,IL,7.63
349,2016,IN,7.5
350,2016,KS,8.54
351,2016,KY,6.85
352,2016,LA,6.07
353,2016,MA,13.41
354,2016,MD,9.94
355,2016,ME,10.42
356,2016,MI,8.99
357,2016,MN,8.13
358,2016,MO,7.93
359,2016,MS,7.06
360,2016,MT,7.19
361,2016,NC,7.49
362,2016,ND,7.27
363,2016,NE,7.36
364,2016,NH,12.74
365,2016,NJ,10.89
366,2016,NM,7.42
367,2016,NV,6.83
368,2016,NY,11.77
369,2016,OH,8.01
370,2016,OK,6.37
371,2016,OR,7.19
372,2016,PA,8.29
373,2016,RI,13.25
374,2016,SC,7.97
375,2016,SD,8.0
376,2016,TN,7.51
377,2016,TX,6.86
378,2016,UT,7.1
379,2016,VA,7.4
380,2016,VT,11.77
381,2016,WA,6.25
382,2016,WI,8.68
383,2016,WV,7.31
384,2016,WY,6.66
167,2017,AK,15.22
168,2017,AL,7.83
169,2017,AR,6.58
170,2017,AZ,8.48
171,2017,CA,12.8
172,2017,CO,7.96
173,2017,CT,13.98
174,2017,DC,9.4
175,2017,DE,8.69
176,2017,FL,8.3
177,2017,GA,7.83
178,2017,HI,20.76
179,2017,IA,6.96
180,2017,ID,6.58
181,2017,IL,7.56
182,2017,IN,7.78
183,2017,KS,8.45
184,2017,KY,6.83
185,2017,LA,6.21
186,2017,MA,13.64
187,2017,MD,9.55
188,2017,ME,10.37
189,2017,MI,8.99
190,2017,MN,8.18
191,2017,MO,7.99
192,2017,MS,7.24
193,2017,MT,7.11
194,2017,NC,7.2
195,2017,ND,7.0
196,2017,NE,7.23
197,2017,NH,12.88
198,2017,NJ,10.61
199,2017,NM,7.64
200,2017,NV,6.98
201,2017,NY,11.74
202,2017,OH,7.84
203,2017,OK,6.53
204,2017,OR,7.02
205,2017,PA,8.07
206,2017,RI,13.08
207,2017,SC,7.94
208,2017,SD,8.01
209,2017,TN,7.53
210,2017,TX,6.68
211,2017,UT,6.85
212,2017,VA,7.31
213,2017,VT,11.63
214,2017,WA,6.33
215,2017,WI,8.57
216,2017,WV,7.17
217,2017,WY,6.6
0,2018,AK,15.06
1,2018,AL,7.49
2,2018,AR,6.05
3,2018,AZ,8.44
4,2018,CA,12.9
5,2018,CO,7.79
6,2018,CT,14.32
7,2018,DC,9.36
8,2018,DE,8.21
9,2018,FL,8.02
10,2018,GA,7.48
11,2018,HI,22.69
12,2018,IA,6.94
13,2018,ID,6.35
14,2018,IL,7.47
15,2018,IN,7.58
16,2018,KS,8.34
17,2018,KY,6.63
18,2018,LA,6.0
19,2018,MA,14.39
20,2018,MD,9.0
21,2018,ME,10.45
22,2018,MI,8.87
23,2018,MN,8.07
24,2018,MO,7.72
25,2018,MS,7.19
26,2018,MT,6.88
27,2018,NC,7.19
28,2018,ND,6.93
29,2018,NE,7.02
30,2018,NH,13.23
31,2018,NJ,10.29
32,2018,NM,7.27
33,2018,NV,6.74
34,2018,NY,11.53
35,2018,OH,7.73
36,2018,OK,6.29
37,2018,OR,6.88
38,2018,PA,7.86
39,2018,RI,14.08
40,2018,SC,7.51
41,2018,SD,7.75
42,2018,TN,7.45
43,2018,TX,6.6
44,2018,UT,6.39
45,2018,VA,7.37
46,2018,VT,11.77
47,2018,WA,6.22
48,2018,WI,8.23
49,2018,WV,6.78
50,2018,WY,6.29
